종목명,보유수량,평가금액,비중,업종
인천도시가스,185,"4,921,350",4.95%,"전기, 가스, 증기 및 공기조절 공급업"
농심,17,"4,819,500",4.85%,식료품 제조업
광주신세계,29,"4,930,000",4.96%,소매업; 자동차 제외
리더스코스메틱,"1,686","5,006,155",5.04%,화학물질 및 화학제품 제조업; 의약품 제외
대한제분,920,"4,988,870",5.02%,식료품 제조업
경동도시가스,65,"4,940,000",4.97%,"전기, 가스, 증기 및 공기조절 공급업"
해태제과식품,576,"4,993,920",5.02%,식료품 제조업
삼정펄프,108,"4,968,000",5.00%,"펄프, 종이 및 종이제품 제조업"
한솔제지,156,"4,656,600",4.69%,"펄프, 종이 및 종이제품 제조업"
영풍정밀,197,"4,993,950",5.02%,기타 기계 및 장비 제조업
화성산업,115,"5,025,500",5.06%,종합 건설업
삼천리,64,"4,985,600",5.02%,"전기, 가스, 증기 및 공기조절 공급업"
E1,411,"5,034,750",5.07%,도매 및 상품 중개업
대상,597,"4,978,980",5.01%,식료품 제조업
금화피에스시,357,"5,069,400",5.10%,전문직별 공사업
DB손해보험,164,"4,975,500",5.01%,보험업
스카이라이프,594,"5,041,120",5.07%,방송업
농심홀딩스,256,"5,049,600",5.08%,전문 서비스업
대성에너지,33,"4,884,000",4.91%,"전기, 가스, 증기및 공기조절 공급업"
진양홀딩스,"1,449","5,129,460",5.16%,고무 및 플라스틱제품 제조업
